isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
DE000BAY0017,1056.0,1192.0,764.0,248.0,564761.0,84450.0,2397.83,2321.46,21383.0,2597.6,2561.0,37.0,0.0,291456.0,13968.0,34560.0,144.0,Bayer,Germany,Deloitte,Biotechnology & Pharmaceuticals,19642442483.0,4.0,6.25222024866785,7.057430432208407,15.16281823564239,0.21906453522794553,0.0
DE000CBK1001,1192.0,1090.0,1219.0,213.0,824616.0,145676.0,6494.33,1501.72,27625.0,3839.4,14099.0,220.0,0.9128279770724482,516120.0,12495.0,77265.0,255.0,Commerzbank,Germany,KPMG,Commercial Banks,19284658156.0,4.0,4.091271039841841,3.741179054888932,48.39163623383399,0.7551003597023532,0.003133076062880805
DE000DTR0CK8,599.0,676.0,455.0,170.0,377394.0,56740.0,1908.88,1042.21,13865.0,1615.3,1562.0,210.0,5.036655800960452,198352.0,6370.0,15876.0,98.0,Daimler Truck,Germany,KPMG,Industrial Machinery & Goods,30207494645.0,4.0,5.278463165315474,5.956996827634826,13.7645400070497,1.8505463517800493,0.04438364294113899
DE000DZ8L9C1,1252.0,1069.0,963.0,386.0,917229.0,163784.0,6374.73,6378.79,29744.0,5970.1,12186.0,290.0,0.0,647680.0,63360.0,165440.0,320.0,DZ BANK,Germany,PwC,Commercial Banks,,,3.8221071655350953,3.2634445367068823,37.201436037708206,0.8853123626239437,0.0
DE000ENAG999,641.0,715.0,388.0,88.0,378502.0,56756.0,677.04,1545.65,13855.0,808.9,1323.0,42.0,0.4581897037387435,109296.0,1674.0,4536.0,54.0,E.ON,Germany,KPMG,Electric Utilities & Power Generators,30418380607.0,4.0,5.646980054972161,6.298893509056311,11.655155402072028,0.370004933399112,0.0040364869241907774
DE000EVNK013,761.0,882.0,656.0,162.0,483006.0,75627.0,2160.42,3121.8,18020.0,2260.7,3348.0,124.0,2.632112801847634,269192.0,12369.0,29925.0,133.0,Evonik,Germany,KPMG,Chemicals,8070605536.0,3.0,5.031271900247266,5.831250743781983,22.134951802927528,0.8198130297380566,0.017401938473347044
DE000HAG0005,377.0,407.0,307.0,82.0,226837.0,34348.0,842.55,1362.46,8338.0,971.3,1085.0,24.0,0.5415330231428432,119416.0,3127.0,6549.0,59.0,Hensoldt,Germany,KPMG,Semiconductors,4125013200.0,2.0,5.487946896471411,5.9246535460579945,15.794223826714802,0.3493653196692675,0.007883035739240178
DE000HLAG475,862.0,1350.0,657.0,211.0,521623.0,79025.0,3666.64,1613.89,20559.0,3090.1,3272.0,39.0,0.0129551706636664,354200.0,20650.0,51100.0,175.0,Hapag Lloyd,Germany,KPMG,Marine Transportation,27910678285.0,4.0,5.453970262575134,8.5416007592534,20.702309395760835,0.24675735526732046,8.196881153854096e-05
DE000KBX1006,546.0,595.0,423.0,123.0,325285.0,49740.0,2170.73,-242.87,12738.0,1246.1,1396.0,3.0,0.0,159896.0,4187.0,10349.0,79.0,Knorr-Bremse,Germany,KPMG,Industrial Machinery & Goods,11739602784.0,3.0,5.48854041013269,5.981101728990752,14.032971451548049,0.030156815440289503,0.0
DE000KGX8881,471.0,786.0,652.0,176.0,422364.0,65550.0,2658.32,1784.15,15687.0,2340.0,2028.0,161.0,0.5107397620512154,263120.0,14430.0,31200.0,130.0,KION Group,Germany,KPMG,Industrial Machinery & Goods,4324687963.2,2.0,3.5926773455377576,5.995423340961099,15.469107551487415,1.2280701754385965,0.003895802914196914
DE000KSAG888,543.0,637.0,493.0,77.0,379229.0,58052.0,1659.61,1619.3,13125.0,1671.8,2320.0,73.0,0.2243049297480949,190256.0,6862.0,15604.0,94.0,K+S,Germany,PwC,Chemicals,1939329187.2,2.0,4.67684145249087,5.486460414800524,19.98208502721698,0.6287466409426032,0.0019319311113148118
DE000LEG1110,394.0,457.0,387.0,36.0,247439.0,37704.0,1256.0,1180.94,9066.0,1259.1,1571.0,72.0,0.4265622739431759,143704.0,8591.0,13561.0,71.0,LEG Immobilien,Germany,Deloitte,Real Estate,6306043571.6,3.0,5.224909823891364,6.060364948016126,20.833333333333332,0.9548058561425843,0.0056567244051450236
